Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
2359,花样年华常青藤,75万,2室2厅1卫, 82.97平米 ,9040元/平米,东南,中楼层,简装,成华区, 板塔结合, 7个月前
2360,树蓓巷1号,98万,3室1厅1卫, 109.94平米 ,8914元/平米,南,中楼层,其他,金牛区, 板楼, 4个月前
2361,锦东庭园,142万,2室2厅1卫, 68.72平米 ,20664元/平米,北,低楼层,毛坯,锦江区, 塔楼, 2个月前
2362,洲际春天广场,83万,2室1厅1卫, 69.8平米 ,11892元/平米,西北,中楼层,精装,温江区, 板塔结合, 6个月前
2363,曦城,70万,1室1厅1卫, 47.71平米 ,14672元/平米,东南,中楼层,精装,金牛区, 塔楼, 5个月前
2364,中道街99号,210万,3室2厅1卫, 104.84平米 ,20031元/平米,南,高楼层,精装,锦江区, 板楼, 7个月前
2365,洲际亚洲湾A区,130万,3室2厅1卫, 100.87平米 ,12869元/平米,东南,中楼层,精装,温江区, 板塔结合, 8个月前
2366,时代晶科名苑,220万,2室1厅2卫, 91.65平米 ,24005元/平米,东,高楼层,简装,武侯区, 板塔结合, 11个月前
2367,金沙巷16号,109万,3室2厅1卫, 129.25平米 ,8434元/平米,东南,低楼层,简装,金牛区, 板楼, 1个月前
2368,昆仑华庭,180万,2室1厅1卫, 57.94平米 ,31067元/平米,南,中楼层,精装,锦江区, 板塔结合, 2个月前
2369,悦龙山,110万,3室2厅1卫, 92.86平米 ,11846元/平米,西北,高楼层,毛坯,龙泉驿区, 塔楼, 1年前
2370,星河小区,80万,2室1厅1卫, 64.63平米 ,12348元/平米,南,低楼层,精装,金牛区, 板楼, 6个月前
2371,新城市广场,135万,2室1厅1卫, 71.03平米 ,18978元/平米,东南,高楼层,精装,青羊区, 板塔结合, 7个月前
2372,书香府邸,56万,2室1厅1卫, 60.54平米 ,9251元/平米,南,高楼层,精装,郫都区, 板塔结合, 1年前
2373,文武路152号,82万,2室1厅1卫, 67.64平米 ,12124元/平米,北南,中楼层,其他,青羊区, 板塔结合, 1个月前
2374,清邻街3号,95万,2室2厅2卫, 103.9平米 ,9144元/平米,南,中楼层,简装,青羊区, 板楼, 7个月前
2375,碧桂园海昌天澜,125万,4室2厅1卫, 127.96平米 ,9769元/平米,南,中楼层,毛坯,双流区, 板楼, 6个月前
2376,中铁奥维尔二期,90万,3室2厅1卫, 86平米 ,10407元/平米,东南,高楼层,精装,郫都区, 塔楼, 1年前
2377,泉水人家三期A区,58万,1室1厅1卫, 50.91平米 ,11393元/平米,南,中楼层,简装,金牛区, 板楼, 1个月前
2378,置信巴厘岛D区,165万,3室2厅1卫, 88.59平米 ,18626元/平米,东南,中楼层,简装,武侯区, 塔楼, 11个月前
2379,滨江彼岸,109万,3室1厅1卫, 85.1平米 ,12809元/平米,东北,高楼层,精装,郫都区, 塔楼, 1个月前
2380,西府少城,180万,2室1厅1卫, 75.13平米 ,23959元/平米,东北,中楼层,简装,青羊区, 板塔结合, 6个月前
2381,万科金色城市二期,98万,2室1厅1卫, 66.12平米 ,14822元/平米,东北,低楼层,精装,龙泉驿区, 板塔结合, 1个月前
2382,格林城市花园,116万,4室2厅1卫, 116.88平米 ,9925元/平米,北,低楼层,其他,新都区, 塔楼, 2个月前
2383,城南晶座,90万,1室1厅1卫, 57.4平米 ,15680元/平米,北,低楼层,精装,高新区, 塔楼, 1个月前
2384,三里花城,169万,3室2厅1卫, 103.31平米 ,16359元/平米,北,中楼层,精装,双流区, 塔楼, 1年前
2385,滨江彼岸,130万,3室1厅1卫, 91.5平米 ,14208元/平米,东南,中楼层,精装,郫都区, 塔楼, 1个月前
2386,商业前街122号,38万,2室1厅1卫, 71.83平米 ,5291元/平米,东南,中楼层,简装,龙泉驿区, 板楼, 7个月前
2387,绿地国际花都三期,52万,1室1厅1卫, 51.23平米 ,10151元/平米,西北,高楼层,精装,郫都区, 塔楼, 30天前
2388,万达华府D区,95万,3室2厅1卫, 94.61平米 ,10042元/平米,东南,中楼层,其他,郫都区, 塔楼, 1个月前
2389,蓝润V客东区,150万,3室1厅2卫, 74.42平米 ,20129元/平米,西北,中楼层,其他,成华区, 板塔结合, 2个月前
2390,书香府邸二期英伦,128万,3室2厅1卫, 121.92平米 ,10499元/平米,东南,低楼层,精装,郫都区, 板楼, 1年前
2391,中铁奥维尔二期,90万,3室2厅1卫, 89.11平米 ,10100元/平米,东南,高楼层,精装,郫都区, 塔楼, 11个月前
2392,交大归谷国际社区,285万,3室1厅1卫, 140.08平米 ,20346元/平米,东南,中楼层,精装,武侯区, 板塔结合, 1年前
2393,恒大御龙天峰,110万,4室2厅1卫, 139.82平米 ,7868元/平米,东南,中楼层,其他,龙泉驿区, 板塔结合, 10个月前
2394,高碑瑞苑二期,56万,1室1厅2卫, 46.75平米 ,12043元/平米,北南,中楼层,简装,武侯区, 板楼, 11个月前
2395,汇景新村(金牛),166万,3室2厅1卫, 131.23平米 ,12650元/平米,东南,中楼层,简装,金牛区, 板楼, 3个月前
2396,南城都汇汇馨园三期,400万,4室2厅1卫, 143.56平米 ,27863元/平米,南北,高楼层,精装,武侯区, 板塔结合, 1年前
2397,狮马路70号,95万,3室2厅1卫, 77.82平米 ,12208元/平米,南,高楼层,简装,青羊区, 塔楼, 9个月前
2398,美宸东方,75万,3室2厅1卫, 85.11平米 ,8813元/平米,北,高楼层,简装,龙泉驿区, 板塔结合, 5个月前
2399,空港十六区,85万,2室1厅1卫, 88.05平米 ,9654元/平米,南,高楼层,简装,双流区, 板塔结合, 2个月前
2400,新鸿基悦城,345万,4室3厅1卫, 124平米 ,27823元/平米,东南,低楼层,毛坯,天府新区, 板塔结合, 1年前
2401,龙城国际,210万,3室2厅1卫, 137.04平米 ,15324元/平米,东南,高楼层,精装,郫都区, 板塔结合, 3个月前
2402,巴黎都市,110万,2室1厅1卫, 76.05平米 ,14465元/平米,南,中楼层,精装,双流区, 板塔结合, 2个月前
2403,长富新城,180万,2室1厅1卫, 73.19平米 ,24594元/平米,东南,中楼层,简装,青羊区, 板楼, 7个月前
2404,雄飞新园紫郡,159万,3室1厅2卫, 84.44平米 ,18830元/平米,西北,中楼层,精装,武侯区, 板塔结合, 2个月前
2405,果壳里的城,110万,3室2厅1卫, 87.92平米 ,12512元/平米,东南,中楼层,其他,龙泉驿区, 塔楼, 1年前
2406,景尚景二期,95万,3室2厅1卫, 91.72平米 ,10358元/平米,东南,中楼层,精装,郫都区, 板塔结合, 1年前
2407,西锦国际一期,102万,2室1厅1卫, 64.2平米 ,15888元/平米,北,低楼层,简装,金牛区, 板塔结合, 4个月前
2408,恒大名都,129万,3室2厅2卫, 86.66平米 ,14886元/平米,东,低楼层,精装,天府新区, 塔楼, 6个月前
2409,中信未来城南区,116万,3室1厅1卫, 104.89平米 ,11060元/平米,东北,低楼层,其他,郫都区, 塔楼, 5个月前
2410,远大林语城南庭,120万,2室1厅1卫, 82.28平米 ,14585元/平米,北,中楼层,简装,双流区, 板塔结合, 19天前
2411,珑熙郡,229万,3室1厅1卫, 84.95平米 ,26958元/平米,东南,中楼层,精装,新武侯区, 塔楼, 23天前
2412,佳年华新生活,143万,3室2厅1卫, 96平米 ,14896元/平米,西北,低楼层,精装,新都区, 板塔结合, 5个月前
2413,香樟林,92万,3室1厅1卫, 130.28平米 ,7062元/平米,东南,中楼层,精装,新都区, 板楼, 21天前
2414,麦田国际社区,62万,2室1厅1卫, 63.27平米 ,9800元/平米,东南,高楼层,简装,新都区, 板塔结合, 5个月前
2415,泰和佳园,186万,2室1厅2卫, 90.86平米 ,20472元/平米,东南,高楼层,简装,武侯区, 塔楼, 6个月前
2416,蜀都花园,150万,3室2厅1卫, 93.78平米 ,15995元/平米,北南,中楼层,精装,青羊区, 塔楼, 19天前
2417,融城云熙,122万,3室1厅1卫, 85.58平米 ,14256元/平米,南,中楼层,精装,青羊区, 塔楼, 19天前
2418,玉龙山庄,75万,3室2厅1卫, 126.82平米 ,5914元/平米,南,低楼层,简装,龙泉驿区, 板楼, 1年前
2419,公园榕郡,54万,2室1厅1卫, 46.64平米 ,11493元/平米,东北,低楼层,简装,郫都区, 板塔结合, 1年前
2420,三里花城,155万,3室2厅2卫, 100.87平米 ,15367元/平米,西南,中楼层,毛坯,双流区, 板塔结合, 1年前
2421,河畔新世界,168万,3室2厅2卫, 125.72平米 ,13364元/平米,东北,低楼层,精装,天府新区, 塔楼, 9个月前
2422,东马道街21号,95万,2室2厅1卫, 83.32平米 ,11402元/平米,东南,中楼层,精装,青羊区, 板楼, 8个月前
2423,新筑公寓,125万,2室2厅1卫, 81.57平米 ,15325元/平米,东南,中楼层,精装,武侯区, 板塔结合, 9个月前
2424,中信未来城北区,74万,2室1厅1卫, 77.24平米 ,9555元/平米,西北,中楼层,其他,郫都区, 塔楼, 6个月前
2425,赛纳花苑,61万,4室2厅1卫, 119.25平米 ,5116元/平米,南,中楼层,简装,彭州市, 板塔结合, 7个月前
2426,时代晶科名苑,425万,3室2厅1卫, 151.23平米 ,28103元/平米,西北,中楼层,精装,武侯区, 板塔结合, 6个月前
2427,海亮彩悦府,105万,3室1厅1卫, 87.43平米 ,12010元/平米,东南,低楼层,精装,龙泉驿区, 塔楼, 7个月前
2428,我的大学,39万,2室1厅1卫, 50.57平米 ,7713元/平米,南,低楼层,简装,新都区, 板塔结合, 5个月前
2429,东苑C区,295万,3室2厅1卫, 135.72平米 ,21736元/平米,东,高楼层,精装,高新区, 板塔结合, 5个月前
2430,乐天圣苑,265万,3室1厅1卫, 87.64平米 ,30238元/平米,西南,低楼层,其他,锦江区, 板塔结合, 5个月前
2431,美洲花园三期,185万,3室1厅1卫, 129.5平米 ,14286元/平米,东南,低楼层,简装,新都区, 板楼, 5个月前
2432,武海中华锦绣,110万,2室1厅1卫, 89.43平米 ,12278元/平米,西,中楼层,精装,武侯区, 板楼, 1年前
2433,美宸东方,75万,2室2厅5卫, 84.91平米 ,8833元/平米,北,高楼层,其他,龙泉驿区, 板塔结合, 4个月前
2434,恒大都汇华庭,180万,1室1厅1卫, 67.16平米 ,26802元/平米,东南,低楼层,简装,锦江区, 塔楼, 1年前
2435,大成郡,93万,2室1厅2卫, 59.59平米 ,15607元/平米,南,低楼层,精装,双流区, 塔楼, 1个月前
2436,空港十六区,142万,3室2厅1卫, 113.77平米 ,12482元/平米,东西,中楼层,简装,双流区, 塔楼, 25天前
2437,花样年华梦想家,46万,1室0厅1卫, 42.71平米 ,10771元/平米,北,低楼层,其他,武侯区, 塔楼, 25天前
2438,佳年华新生活,125万,3室2厅3卫, 96.2平米 ,12994元/平米,西北,低楼层,精装,新都区, 板塔结合, 8个月前
2439,中粮祥云二期,278万,3室2厅1卫, 127.77平米 ,21758元/平米,南,中楼层,精装,武侯区, 板楼, 21天前
2440,恒昌贵筑,66万,2室1厅1卫, 86.04平米 ,7671元/平米,东南,中楼层,精装,彭州市, 塔楼, 22天前
2441,金沙云庭,418万,4室2厅2卫, 127.05平米 ,32901元/平米,东南,中楼层,精装,青羊区, 板楼, 6个月前
2442,九龙仓时代小镇1号府邸,152万,3室1厅1卫, 111.78平米 ,13599元/平米,东南,高楼层,简装,双流区, 塔楼, 12天前
2443,怡心湖岸二期,198万,3室2厅1卫, 105.78平米 ,18719元/平米,南,低楼层,精装,双流区, 板塔结合, 10个月前
2444,万科理想城二期·树院,148万,3室2厅1卫, 85.22平米 ,17367元/平米,西南,中楼层,精装,郫都区, 板塔结合, 9个月前
2445,置信逸景苑,60万,3室2厅1卫, 71.98平米 ,8308元/平米,南,高楼层,精装,彭州市, 塔楼, 10个月前
2446,水韵天府,138万,3室2厅1卫, 116.79平米 ,11817元/平米,南北,低楼层,精装,金牛区, 塔楼, 5个月前
2447,北新路289号,50万,3室2厅1卫, 126.85平米 ,3934元/平米,东南,高楼层,简装,新都区, 板楼, 6个月前
2448,华润凤凰城三期,358万,3室1厅1卫, 123.99平米 ,28874元/平米,西南,高楼层,精装,高新区, 塔楼, 1年前
2449,城南名著,149万,3室1厅1卫, 123.76平米 ,12040元/平米,北,低楼层,简装,高新区, 板塔结合, 1年前
2450,百花小区,61万,3室2厅2卫, 111.04平米 ,5494元/平米,南,低楼层,精装,郫都区, 板楼, 1年前
2451,中铁西城东苑,118万,1室1厅1卫, 59.29平米 ,19903元/平米,东,高楼层,精装,青羊区, 塔楼, 1年前
2452,天府国际凤凰城,66万,3室1厅2卫, 103.4平米 ,6383元/平米,东南,低楼层,其他,都江堰市, 塔楼, 29天前
2453,美茵河谷,118万,3室2厅1卫, 87.79平米 ,13442元/平米,东南,中楼层,精装,新都区, 板塔结合, 1个月前
2454,明信城B区,123万,3室2厅2卫, 89.26平米 ,13780元/平米,东北,低楼层,精装,温江区, 塔楼, 1个月前
2455,锦江城市花园3期,84万,2室1厅2卫, 57.07平米 ,14719元/平米,东南,中楼层,其他,锦江区, 板塔结合, 12天前
2456,中铁奥维尔二期,69万,3室2厅1卫, 86.15平米 ,8010元/平米,西南,高楼层,其他,郫都区, 塔楼, 16天前
2457,南城都汇汇智园二期,195万,2室2厅1卫, 89.61平米 ,21761元/平米,南,低楼层,简装,武侯区, 板塔结合, 19天前
2458,聚贤半岛花苑,109万,2室1厅2卫, 92.63平米 ,11768元/平米,东,中楼层,精装,金牛区, 板楼, 23天前
2459,名著司南,159万,2室2厅1卫, 75.03平米 ,21192元/平米,北南,中楼层,精装,高新区, 板塔结合, 1个月前
2460,恒大名都,122万,2室1厅1卫, 75.24平米 ,16215元/平米,南,低楼层,精装,天府新区, 塔楼, 23天前
2461,时代花城豪庭二期,98万,3室2厅1卫, 122.9平米 ,7974元/平米,东南,中楼层,精装,郫都区, 板楼, 1个月前
2462,五彩城,72万,2室2厅2卫, 74.53平米 ,9661元/平米,东北,低楼层,精装,郫都区, 塔楼, 1个月前
2463,海天阁,169万,3室2厅1卫, 110.89平米 ,15241元/平米,西南,低楼层,简装,武侯区, 板楼, 28天前
2464,天府上河居,32万,2室1厅1卫, 75.25平米 ,4253元/平米,东,中楼层,精装,郫都区, 板楼, 1个月前
2465,南丽湾,82万,2室1厅1卫, 74.2平米 ,11052元/平米,南,低楼层,其他,双流区, 板楼, 26天前
2466,闲山悦五区,46万,2室1厅1卫, 71.25平米 ,6457元/平米,东南,低楼层,精装,都江堰市, 板塔结合, 20天前
2467,单飞鑫雅苑,71万,1室1厅2卫, 51.46平米 ,13798元/平米,东南,高楼层,精装,金牛区, 板楼, 1年前
2468,交大智能六期,47万,1室1厅1卫, 46.12平米 ,10083元/平米,东南,低楼层,简装,金牛区, 板楼, 1年前
2469,华侨城纯水岸二期,215万,3室1厅2卫, 90.68平米 ,23710元/平米,南,中楼层,精装,金牛区, 板塔结合, 8个月前
2470,宏达世纪锦城,198万,3室2厅1卫, 98平米 ,20205元/平米,北,中楼层,精装,天府新区, 板塔结合, 8个月前
2471,兴盛世家D区,97万,3室1厅2卫, 117.92平米 ,8226元/平米,西北,高楼层,简装,金牛区, 板楼, 1年前
2472,南城都汇汇晴园五期,215万,3室2厅1卫, 89.93平米 ,23908元/平米,南,低楼层,精装,武侯区, 板楼, 1年前
2473,中铁瑞城三号线,147万,2室1厅2卫, 66.73平米 ,22030元/平米,东,中楼层,精装,新武侯区, 塔楼, 1年前
2474,保利香槟国际,188万,3室1厅2卫, 100.39平米 ,18727元/平米,东南,中楼层,精装,金牛区, 板楼, 1年前
2475,普天小区,148万,3室1厅1卫, 116.94平米 ,12657元/平米,南,高楼层,简装,武侯区, 板楼, 1年前
2476,四海逸家二期,430万,4室2厅1卫, 96.76平米 ,44440元/平米,西,低楼层,精装,锦江区, 塔楼, 1年前
2477,上游小区北区,48万,2室1厅1卫, 71.67平米 ,6698元/平米,南北,低楼层,精装,都江堰市, 板楼, 1个月前
2478,红牌楼北街15号,73万,2室1厅1卫, 63.78平米 ,11446元/平米,东,中楼层,其他,武侯区, 板楼, 24天前
2479,名著司南,226万,3室1厅2卫, 116.48平米 ,19403元/平米,东,中楼层,精装,高新区, 板塔结合, 29天前
2480,四季映像,82万,3室1厅1卫, 74.77平米 ,10941元/平米,东南,低楼层,精装,龙泉驿区, 板塔结合, 1个月前
2481,旺府豪庭,85万,3室1厅1卫, 90.58平米 ,9384元/平米,北,中楼层,简装,新都区, 塔楼, 2个月前
2482,龙腾花园,105万,2室2厅1卫, 80.37平米 ,13065元/平米,西,高楼层,精装,武侯区, 板楼, 4个月前
2483,湟普国际,95万,2室1厅1卫, 74.62平米 ,12732元/平米,南,中楼层,精装,温江区, 板塔结合, 1年前
2484,滨江和城,136万,3室2厅1卫, 81.04平米 ,16782元/平米,西,低楼层,其他,天府新区, 板塔结合, 1个月前
2485,东洪广厦,126万,3室2厅1卫, 89.86平米 ,14022元/平米,东南,高楼层,精装,锦江区, 板塔结合, 18天前
2486,成都玩家,196万,3室2厅1卫, 87.76平米 ,22334元/平米,东,中楼层,精装,天府新区, 板塔结合, 29天前
2487,合能枫丹铂麓一期,150万,3室1厅1卫, 92.08平米 ,16269元/平米,东南,中楼层,精装,天府新区, 板塔结合, 27天前
2488,文华路15号,81万,3室1厅1卫, 71.75平米 ,11220元/平米,东南,中楼层,简装,青羊区, 板楼, 14天前
2489,金沙西园四期,180万,2室1厅1卫, 86.5平米 ,20810元/平米,西北,中楼层,精装,青羊区, 板塔结合, 1年前
2490,蓝润城,185万,3室2厅1卫, 118.12平米 ,15663元/平米,南北,低楼层,精装,双流区, 板楼, 16天前
2491,北欧印象,115万,3室2厅1卫, 97.14平米 ,11839元/平米,东南,中楼层,精装,新都区, 塔楼, 13天前
2492,东洪广厦,130万,3室2厅1卫, 89.86平米 ,14467元/平米,东北,中楼层,精装,锦江区, 板塔结合, 15天前
2493,武海西城锦绣,153万,2室1厅1卫, 81.15平米 ,18854元/平米,西,高楼层,毛坯,武侯区, 板楼, 9个月前
2494,华夏之家,72万,3室1厅1卫, 78.2平米 ,9208元/平米,东南,高楼层,简装,金牛区, 板楼, 10个月前
2495,南城都汇汇雅园二期,238万,2室1厅2卫, 86.94平米 ,27376元/平米,南北,高楼层,毛坯,武侯区, 板塔结合, 3个月前
2496,城投东庐,135万,3室1厅1卫, 88.15平米 ,15315元/平米,西,中楼层,精装,成华区, 塔楼, 4个月前
2497,蓝润城,185万,3室2厅2卫, 118.12平米 ,15663元/平米,南北,低楼层,精装,双流区, 板楼, 16天前
2498,武海西城锦绣,153万,2室1厅1卫, 81.15平米 ,18854元/平米,西,高楼层,毛坯,武侯区, 板楼, 9个月前
2499,华夏之家,72万,3室1厅2卫, 78.2平米 ,9208元/平米,东南,高楼层,简装,金牛区, 板楼, 10个月前
2500,北京城建龙樾湾,109万,2室1厅1卫, 85.03平米 ,12820元/平米,西,高楼层,精装,双流区, 板塔结合, 1个月前
2501,紫荆馨苑,136万,2室2厅1卫, 82.88平米 ,16410元/平米,南,低楼层,毛坯,武侯区, 板楼, 1个月前
2502,昊园江南壹品,89万,3室2厅1卫, 82.61平米 ,10750元/平米,南,高楼层,精装,龙泉驿区, 板塔结合, 3个月前
2503,ICC凯旋门,378万,3室2厅1卫, 133.15平米 ,28390元/平米,南,低楼层,毛坯,锦江区, 板塔结合, 3个月前
2504,万科理想城二期·树院,148万,3室2厅1卫, 85.22平米 ,17367元/平米,西南,中楼层,精装,郫都区, 板塔结合, 9个月前
2505,怡心湖岸二期,198万,3室2厅1卫, 105.78平米 ,18719元/平米,南,低楼层,精装,双流区, 板塔结合, 10个月前
2506,汉城小区,51万,2室2厅1卫, 81.8平米 ,6235元/平米,南,低楼层,简装,新都区, 板楼, 2个月前
2507,滨江和城,136万,3室2厅1卫, 81.04平米 ,16782元/平米,西,低楼层,其他,天府新区, 板塔结合, 1个月前
2508,四季映像,82万,3室1厅2卫, 74.77平米 ,10941元/平米,东南,低楼层,精装,龙泉驿区, 板塔结合, 1个月前
2509,龙腾花园,105万,2室2厅2卫, 80.37平米 ,13065元/平米,西,高楼层,精装,武侯区, 板楼, 4个月前
2510,北欧印象,115万,3室2厅1卫, 97.14平米 ,11839元/平米,东南,中楼层,精装,新都区, 塔楼, 13天前
2511,金沙西园四期,180万,2室1厅1卫, 86.5平米 ,20810元/平米,西北,中楼层,精装,青羊区, 板塔结合, 1年前
2512,中粮香榭丽都,397万,4室1厅1卫, 169平米 ,23492元/平米,东南,中楼层,毛坯,武侯区, 板楼, 2个月前
2513,沙河源上金府,56万,2室1厅1卫, 53.91平米 ,10388元/平米,东南,中楼层,其他,金牛区, 板楼, 1个月前
2514,四海逸家二期,430万,4室2厅1卫, 96.76平米 ,44440元/平米,西,低楼层,精装,锦江区, 塔楼, 1年前
2515,上游小区北区,48万,2室1厅2卫, 71.67平米 ,6698元/平米,南北,低楼层,精装,都江堰市, 板楼, 1个月前
2516,红牌楼北街15号,73万,2室1厅2卫, 63.78平米 ,11446元/平米,东,中楼层,其他,武侯区, 板楼, 24天前
2517,花样年华梦想家,46万,1室0厅1卫, 42.71平米 ,10771元/平米,北,低楼层,其他,武侯区, 塔楼, 25天前
2518,佳年华新生活,125万,3室2厅1卫, 96.2平米 ,12994元/平米,西北,低楼层,精装,新都区, 板塔结合, 8个月前
2519,空港十六区,142万,3室2厅1卫, 113.77平米 ,12482元/平米,东西,中楼层,简装,双流区, 塔楼, 25天前
2520,中粮祥云二期,278万,3室2厅1卫, 127.77平米 ,21758元/平米,南,中楼层,精装,武侯区, 板楼, 21天前
2521,名著司南,159万,2室2厅2卫, 75.03平米 ,21192元/平米,北南,中楼层,精装,高新区, 板塔结合, 1个月前
2522,恒大名都,122万,2室1厅1卫, 75.24平米 ,16215元/平米,南,低楼层,精装,天府新区, 塔楼, 23天前
2523,南城都汇汇智园二期,195万,2室2厅1卫, 89.61平米 ,21761元/平米,南,低楼层,简装,武侯区, 板塔结合, 19天前
2524,聚贤半岛花苑,109万,2室1厅1卫, 92.63平米 ,11768元/平米,东,中楼层,精装,金牛区, 板楼, 23天前
2525,汉嘉国际,89万,3室2厅1卫, 91.81平米 ,9694元/平米,北,中楼层,毛坯,新都区, 板塔结合, 3个月前
2526,学府嘉苑,66万,3室1厅1卫, 54.85平米 ,12033元/平米,东,中楼层,精装,双流区, 板楼, 4个月前
2527,海棠名居,155万,3室2厅3卫, 121.37平米 ,12771元/平米,南北,中楼层,简装,成华区, 平房, 9个月前
2528,置信逸景苑,60万,3室2厅1卫, 71.98平米 ,8308元/平米,南,高楼层,精装,彭州市, 塔楼, 10个月前
2529,普天小区,148万,3室1厅1卫, 116.94平米 ,12657元/平米,南,高楼层,简装,武侯区, 板楼, 1年前
2530,空港十六区,142万,3室2厅1卫, 113.77平米 ,12482元/平米,东西,中楼层,简装,双流区, 塔楼, 25天前
2531,花样年华梦想家,46万,1室0厅1卫, 42.71平米 ,10771元/平米,北,低楼层,其他,武侯区, 塔楼, 25天前
2532,佳年华新生活,125万,3室2厅1卫, 96.2平米 ,12994元/平米,西北,低楼层,精装,新都区, 板塔结合, 8个月前
2533,华夏之家,72万,3室1厅2卫, 78.2平米 ,9208元/平米,东南,高楼层,简装,金牛区, 板楼, 10个月前
2534,紫荆馨苑,136万,2室2厅1卫, 82.88平米 ,16410元/平米,南,低楼层,毛坯,武侯区, 板楼, 1个月前
2535,北京城建龙樾湾,109万,2室1厅2卫, 85.03平米 ,12820元/平米,西,高楼层,精装,双流区, 板塔结合, 1个月前
2536,武海西城锦绣,153万,2室1厅1卫, 81.15平米 ,18854元/平米,西,高楼层,毛坯,武侯区, 板楼, 9个月前
2537,恒昌贵筑,66万,2室1厅9卫, 86.04平米 ,7671元/平米,东南,中楼层,精装,彭州市, 塔楼, 22天前
2538,中粮祥云二期,278万,3室2厅1卫, 127.77平米 ,21758元/平米,南,中楼层,精装,武侯区, 板楼, 21天前
2539,金沙云庭,418万,4室2厅1卫, 127.05平米 ,32901元/平米,东南,中楼层,精装,青羊区, 板楼, 6个月前
2540,新里柏仕公馆,186万,3室2厅1卫, 120.21平米 ,15473元/平米,南北,中楼层,毛坯,成华区, 塔楼, 3个月前
2541,东山河畔,69万,2室1厅1卫, 76.34平米 ,9039元/平米,西南,中楼层,精装,龙泉驿区, 塔楼, 27天前
2542,锦江国际花园,145万,3室1厅2卫, 84.69平米 ,17122元/平米,西南,低楼层,精装,锦江区, 塔楼, 5个月前
2543,上龙门,110万,3室2厅1卫, 73.82平米 ,14902元/平米,西,低楼层,简装,龙泉驿区, 板楼, 3个月前
2544,城南名著,142万,3室2厅1卫, 101.58平米 ,13980元/平米,南北,中楼层,简装,高新区, 板塔结合, 1年前
2545,合能珍宝琥珀,83万,3室1厅1卫, 83平米 ,10000元/平米,西,低楼层,简装,温江区, 板塔结合, 4个月前
2546,居民大院,62万,2室1厅1卫, 55.95平米 ,10992元/平米,东南,高楼层,精装,成华区, 板楼, 18天前
2547,保利创智锦城,179万,3室2厅2卫, 85.66平米 ,20897元/平米,西南,高楼层,精装,天府新区, 板塔结合, 3个月前
2548,月映长滩c区,300万,4室3厅1卫, 242平米 ,12397元/平米,南北,低楼层,精装,温江区, 板塔结合, 30天前
2549,时代悦城,63万,3室1厅1卫, 69.54平米 ,9060元/平米,东南,高楼层,其他,郫都区, 板塔结合, 1个月前
2550,绿地悦蓉公馆,170万,4室1厅1卫, 123.62平米 ,13752元/平米,南北,中楼层,毛坯,成华区, 板塔结合, 7个月前
2551,摩根中心,146万,2室2厅1卫, 90.47平米 ,16138元/平米,东南,高楼层,精装,锦江区, 塔楼, 8个月前
2552,蓝光幸福满庭,98万,3室1厅1卫, 70.45平米 ,13911元/平米,东南,低楼层,其他,郫都区, 板塔结合, 8个月前
2553,凤凰小区,21万,2室1厅1卫, 77.28平米 ,2718元/平米,东南,中楼层,简装,青白江区, 板塔结合, 1年前
2554,蓝天路3号,92万,2室1厅1卫, 87.13平米 ,10559元/平米,南,高楼层,简装,高新区, 板楼, 5个月前
2555,照壁巷5号,75万,2室1厅1卫, 45.69平米 ,16415元/平米,东南,高楼层,简装,青羊区, 暂无数据, 1个月前
2556,锦西人家三区,116万,2室2厅1卫, 77.04平米 ,15058元/平米,东南,高楼层,精装,金牛区, 塔楼, 4个月前
2557,锦西花园三期,98万,2室1厅1卫, 93.49平米 ,10483元/平米,南,中楼层,简装,金牛区, 板楼, 22天前
2558,万科朗润园,90万,2室2厅1卫, 84.95平米 ,10595元/平米,西南,中楼层,精装,温江区, 板塔结合, 1年前
2559,艺苑生活圈,55万,2室1厅1卫, 86.9平米 ,6330元/平米,东南,高楼层,精装,温江区, 板楼, 2个月前
2560,梅花庭园,238万,3室2厅1卫, 122.08平米 ,19496元/平米,东,中楼层,简装,锦江区, 板楼, 1年前
2561,石油苑,99万,3室1厅1卫, 77.76平米 ,12732元/平米,东南,中楼层,简装,成华区, 板楼, 1年前
2562,桂王桥东街4号,142万,3室2厅1卫, 116.4平米 ,12200元/平米,南,低楼层,其他,锦江区, 板楼, 2个月前
2563,玉双路52号,125万,3室2厅1卫, 89.23平米 ,14009元/平米,东南,低楼层,简装,成华区, 塔楼, 1个月前
2564,商业街25号,198万,2室1厅2卫, 61.62平米 ,32133元/平米,南北,低楼层,简装,青羊区, 板楼, 2个月前
2565,华润二十四城二期,218万,3室2厅4卫, 88平米 ,24773元/平米,东南,高楼层,简装,成华区, 板塔结合, 2个月前
2566,宜家HOME,128万,1室1厅2卫, 39.04平米 ,32787元/平米,东南,高楼层,简装,锦江区, 板塔结合, 1个月前
2567,锦宏骏苑北区,188万,2室2厅2卫, 75.41平米 ,24931元/平米,东北,低楼层,简装,武侯区, 板楼, 8个月前
2568,恒大锦城,145万,3室2厅1卫, 104.85平米 ,13830元/平米,北,中楼层,简装,成华区, 板塔结合, 1年前
