Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
155,锦绣东方一期,72万,1室1厅1卫, 49.9平米 ,14429元/平米,东,低楼层,简装,成华区, 塔楼, 1年前
156,首创爱这城一二期,135万,2室1厅1卫, 86.48平米 ,15611元/平米,南,高楼层,精装,成华区, 塔楼, 2个月前
157,石油广都小区,98万,3室1厅1卫, 110.47平米 ,8872元/平米,南,高楼层,其他,双流区, 板楼, 1个月前
158,金秋家园1,117万,3室2厅1卫, 124.89平米 ,9369元/平米,南北,高楼层,毛坯,双流区, 暂无数据, 8个月前
159,翡翠城四期,213万,3室1厅1卫, 86.56平米 ,24608元/平米,南,低楼层,简装,锦江区, 塔楼, 1个月前
160,河畔新世界,265万,4室2厅1卫, 183.91平米 ,14410元/平米,南北,低楼层,毛坯,天府新区, 塔楼, 1个月前
161,沙河新城,106万,2室1厅1卫, 79平米 ,13418元/平米,东南,中楼层,简装,成华区, 板塔结合, 2个月前
162,五桂小区,50万,3室2厅2卫, 107.68平米 ,4625元/平米,东,中楼层,简装,新都区, 暂无数据, 4个月前
163,丽阳星座,76万,2室1厅1卫, 76.95平米 ,9877元/平米,东北,低楼层,毛坯,温江区, 板塔结合, 3个月前
164,利通出水芙蓉,118万,3室1厅1卫, 92.19平米 ,12800元/平米,东南,高楼层,简装,天府新区, 板楼, 1年前
165,格兰鼎城,58万,2室1厅1卫, 76.51平米 ,7581元/平米,东南,高楼层,毛坯,龙泉驿区, 板塔结合, 1年前
166,桃园柳岸,173万,5室2厅4卫, 170.75平米 ,10132元/平米,西南,高楼层,其他,郫都区, 塔楼, 1年前
167,成都后花园三期,138万,3室2厅2卫, 104.3平米 ,13232元/平米,西南,低楼层,简装,郫都区, 板塔结合, 1年前
168,云影苑,208万,3室2厅1卫, 132.44平米 ,15706元/平米,南北,中楼层,其他,武侯区, 板楼, 25天前
169,花香龙都,85万,2室1厅2卫, 84.66平米 ,9982元/平米,东,中楼层,精装,龙泉驿区, 塔楼, 2个月前
170,长顺上街285号,300万,2室1厅3卫, 103.42平米 ,29008元/平米,南,中楼层,精装,青羊区, 板塔结合, 3个月前
171,加贝书香尚品,98万,3室2厅2卫, 83.81平米 ,11694元/平米,南,中楼层,简装,双流区, 板楼, 1个月前
